name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets,product:shopifyProductId,variant:shopifyVariantId,variant:compareAtPrice
BRAND NEW Samsung  (NV31T4551SS) 24 Inch Wall Oven with 3.1 cu. ft. Capacity Stainless Steel,brand-new-samsung-nv31t4551ss-24-inch-wall-oven-with-3-1-cu-ft-capacity-stainless-steel,"Description

Features

3.1 Cubic Feet Capacity

Features hidden bake element and adjustable rack positions that can accommodate all your dishes

Touch Controls

Integrated and seamless design that is easy to clean and offers easy access front panel control

Wi-Fi Connectivity

Using Smart Controls via the SmartThings App you can change oven settings, set cooking times, and even change temperature remotely

Catalytic & Steam Clean

Convenience

Sabbath Mode

Proofing

Warming Mode

Delay Start

Kitchen Timer",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/13C11302-4866-4624-8CCA-C1ADA58E4D03.webp?v=1777395743|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/374CE8EB-C9F2-4D1D-AC1F-065637245B10.jpg?v=1777395743|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/BD4EF635-5AE1-4B51-90B1-581973F2CC1F.jpg?v=1777395743|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/C4B986B6-8DD3-4FB6-90DE-497191DCBC4D.jpg?v=1777395743,brand:SAMSUNG|type:OVEN|condition:Brand New|shopify-tag:Brand new|shopify-tag:Oven|shopify-tag:samsung|shopify-tag:SAMSUNG BRAND NEW|collection:SAMSUNG|collection:SAMSUNG BRAND NEW,,,SHOPIFY-8541421010998-45487214198838,449.99,standard,1,true,,,8541421010998,45487214198838,1399.99
Brand New (Whirlpool) Electric Stove (WFE515S0JB),sin-nombre-26mar_14-23,"30 Inch Freestanding Electric Range with FlexHeat™ Dual Radiant Element

With the FlexHeat™ dual radiant element you get two elements in one with a 6"" inner ring that's great for smaller pots and pans and a 9"" expandable outer ring that makes room for larger cookware. Frozen Bake™ technology allows you to skip preheating and cook frozen favorites like pizza and lasagna faster with preprogrammed settings that automatically adjust cooking times for you. Adjustable self-cleaning helps you clean without harsh chemicals or special cleaners by running this high-temperature setting that automatically cleans the oven according to a preprogrammed cycle.

The upswept SpillGuard™ cooktop makes clean up easier with a cooktop that has raised edges to help contain spills. Keep dishes ready to serve while you work on the rest of the meal by using the Keep Warm setting. This setting delivers low heat to the oven to keep prepared dishes from getting cold. Get evenly-baked food with a temperature sensor that monitors oven temperature and adjusts the cooking elements. Closed door broiling maintains the optimal cooking temperature for food while still keeping the kitchen comfortable and cool using this broiling temperature management system that helps prevent overheating.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/A28C4982-4F1D-4BD9-A3C7-F1333B293C75.jpg?v=1774552021|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/0F3EC361-4C45-42F7-9A96-2FAC3826962C.jpg?v=1774552216,brand:WHIRLPOOL|type:STOVE|condition:Brand New|shopify-tag:Brand new|shopify-tag:stove|shopify-tag:Whirlpool|collection:BRAND NEW|collection:SHOP BY BRAND|collection:STOVES|collection:WHIRLPOOL,,,SHOPIFY-8362055139382-45165426901046,499.99,standard,1,true,,,8362055139382,45165426901046,899.99
Brand New (Whirlpool) Gas Stove (WFG525S0JB),brand-new-whirlpool-gas-stove-wfg525s0jb,"30 Inch Freestanding Gas Range with Frozen Bake™ Technology
Skip preheating and cook frozen favorites like pizza and lasagna faster with Frozen Bake™ - pre-programmed settings that automatically adjust cooking times for you. The SpeedHeat™ burner generates 15,000 BTUs, the high heat needed to sear and boil quickly. This unit also comes equipped with an 8,000 BTU center oval burner that can easily fit large griddles and other longer cookware so they heat evenly on the range top. With the upswept SpillGuard™ cooktop, spills are contained by its raised edges and cleanup is a breeze. If you want to get dinner to the table faster with an easy cleanup, then this unit is for you.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/FEB31714-74E0-4D71-8D25-52E4433D8D24.jpg?v=1774552613|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/B2B976F8-B8A9-4A4B-877B-28069CAD39BB.jpg?v=1774552613|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/84BF3FE4-B3E6-4DF3-BCE1-ACDCC6C4D59D.jpg?v=1774552613|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/89921FE0-79D1-48A2-811D-9F66F9D34A30.jpg?v=1774552613,brand:WHIRLPOOL|type:STOVE|condition:Brand New|shopify-tag:Brand new|shopify-tag:stove|shopify-tag:Whirlpool|collection:BRAND NEW|collection:SHOP BY BRAND|collection:STOVES|collection:WHIRLPOOL,,,SHOPIFY-8362239426614-45165669875766,499.99,standard,1,true,,,8362239426614,45165669875766,899.99
"BRAND NEW FRIGIDAIRE (FFGC3026SB)
30 Inch Gas Cooktop with 4 Sealed Burners, Continuous Grates, Low Simmer Burner, Control Knobs, Electronic Ignition",brand-new-frigidaire-ffgc3026sb-30-inch-gas-cooktop-with-4-sealed-burners-continuous-grates-low-simmer-burner-control-knobs-electronic-ignition,"Description

30"" Gas Cooktop
Simple and sleek, this 30-inch gas cooktop by Frigidaire features four (4) sealed burners, which makes for easy cleaning in the seamless drop-well surface. On this surface are strong cast iron grates with a black matte finish. Frigidaire's Ready-Select controls make selecting flame settings quick and easy. There's a range of BTU power, from 15,000 for high-octane cooking to 5,000 for low simmering of delicate foods and sauces. Available for you here at AJMadsion.com",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/A0B39F50-30AC-4E71-827C-EFA8D5ADC60B.jpg?v=1767808601|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/DED4C4C7-3F5C-4887-B283-C2F9779FE4BA.jpg?v=1767808601|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/BDE8C0E1-A9E7-47D8-9254-D402B052BD80.jpg?v=1767808601|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/DFA7B8C5-4755-4730-A9F4-887BECC7E303.jpg?v=1767808601,brand:FRIGIDAIRE|type:COOKTOP|condition:Brand New|shopify-tag:Brand new|shopify-tag:Cooktop|shopify-tag:Frigidaire|collection:BRAND NEW|collection:SHOP BY BRAND,,,SHOPIFY-8136275984438-44669050748982,299.99,standard,1,true,,,8136275984438,44669050748982,899.99
"BRAND NEW Samsung (RS22T5201SR)
36 Inch Counter Depth Freestanding Side by Side Smart Refrigerator with 22 Cu. Ft. Total Capacity, Stainless Steel",brand-new-samsung-rs22t5201sr-36-inch-counter-depth-freestanding-side-by-side-smart-refrigerator-with-22-cu-ft-total-capacity-stainless-steel,"Description
36 Inch Counter Depth Freestanding Side by Side Smart Refrigerator with 22 Cu. Ft. Total Capacity

Samsung's 22 cu. ft., Side-by-Side Counter-Depth refrigerator is beautifully designed with a built-in look for a seamless fit. It offers a smooth and streamlined exterior design that features beautiful flat doors, a minimal display dispenser, and easy to open recessed handles that blend beautifully into your cabinetry, adding function and style to your kitchen.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/6307B51B-90D3-4EF8-8911-4D63D82367EC.jpg?v=1767897336|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/B0EC7565-8A47-4FF8-BB04-69699D016E2A.jpg?v=1767897336|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/D6F94CF6-28A0-46BE-84EB-DBF6E650D8D8.jpg?v=1767897336|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/4ADC8834-CEAD-4D11-BBEC-86BC2231E75C.jpg?v=1767897336|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/2243494A-3FFB-4562-93ED-E5B4EC48C287.jpg?v=1767897336|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/1BA82B95-559B-4495-BF92-FA432623FF6C.jpg?v=1767897336,brand:SAMSUNG|type:FRIDGE|condition:Brand New|shopify-tag:Brand new|shopify-tag:fridge|shopify-tag:SAMSUNG BRAND NEW|collection:BRAND NEW|collection:SAMSUNG BRAND NEW|collection:SHOP BY BRAND,,,SHOPIFY-8138568859702-44673118044214,1099.99,standard,1,true,,,8138568859702,44673118044214,1499.99
BRAND NEW Whirlpool SET  (WSR57R18DM y WSZ57L18DM) 30 Inch Freestanding Upright Freezer with 18.0 cu. ft. Capacity each. Stainless Steel,brand-new-whirlpool-set-wsr57r18dm-y-wsz57l18dm-30-inch-freestanding-upright-freezer-with-18-0-cu-ft-capacity-each-stainless-steel,"Description
30 Inch Freestanding Upright Freezer with 18.0 cu. ft. Capacity

Enjoy the convenience and simplicity of an all-freezer from Whirlpool. Activate fast freeze to rapidly drop the freezer's temperature to its lowest setting helping lock in freshness and flavor. With frost-free defrost you'll never have to empty your freezer for a manual defrost again, saving you time.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/2C009488-3673-4EC5-8C17-DAC866C11A27.webp?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/362836DE-2834-4469-807F-BD823188CF61.jpg?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/81710401-4DA2-47A5-BF17-FC8835FE266E.jpg?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/2E2F8209-8167-48EA-8D65-EE7AC3FD6C08.jpg?v=1767896178,brand:WHIRLPOOL|type:FRIDGE|condition:Brand New|shopify-tag:Brand new|shopify-tag:Whirlpool|collection:BRAND NEW|collection:SETS|collection:SHOP BY BRAND|collection:WHIRLPOOL,,,SHOPIFY-8138566434870-44673110671414,2300.00,standard,1,true,,,8138566434870,44673110671414,3650.00
"BRAND NEW Whirlpool Sidekicks (WSZ57L18DM)
30 Inch Freestanding Upright Freezer with 18.0 cu. ft. Capacity. Stainless Steel",brand-new-whirlpool-sidekicks-wsz57l18dm-30-inch-freestanding-upright-freezer-with-18-0-cu-ft-capacity-stainless-steel,"Description
30 Inch Freestanding Upright Freezer with 18.0 cu. ft. Capacity

Enjoy the convenience and simplicity of an all-freezer from Whirlpool. Activate fast freeze to rapidly drop the freezer's temperature to its lowest setting helping lock in freshness and flavor. With frost-free defrost you'll never have to empty your freezer for a manual defrost again, saving you time.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/F9126CA7-0283-461A-8C8F-6E1FAD91F480.jpg?v=1767896162|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/866208D5-99A5-41DB-8A88-B280F4CCED24.jpg?v=1767896162|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/2E2F8209-8167-48EA-8D65-EE7AC3FD6C08.jpg?v=1767896178|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/2C009488-3673-4EC5-8C17-DAC866C11A27.webp?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/362836DE-2834-4469-807F-BD823188CF61.jpg?v=1767895903,brand:WHIRLPOOL|type:FRIDGE|condition:Brand New|shopify-tag:Brand new|shopify-tag:Whirlpool|collection:BRAND NEW|collection:SHOP BY BRAND|collection:WHIRLPOOL,,,SHOPIFY-8138565779510-44673109983286,1149.99,standard,1,true,,,8138565779510,44673109983286,1749.99
"BRAND NEW Whirlpool (WSR57R18DM)
30 Inch All-Refrigerator with In-Door Pizza Pocket, 18.0 cu. ft. Capacity",brand-new-whirlpool-wsr57r18dm-30-inch-all-refrigerator-with-in-door-pizza-pocket-18-0-cu-ft-capacity,"Description

18.0 cu. ft. All Refrigerator
Enjoy even more space for your fresh food with this large all refrigerator from Whirlpool. With 5 full-width glass shelves you enough room for anything you might need, and with 4 humidity-controlled drawers you can keep fresh fruits and vegetables fresher, longer.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/0285E1D4-ED90-41E1-831E-D4C97BCA6B28.webp?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/042B3375-CEAB-41A0-A5B2-30C2DDE150AF.jpg?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/2C009488-3673-4EC5-8C17-DAC866C11A27.webp?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/362836DE-2834-4469-807F-BD823188CF61.jpg?v=1767895903|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/81710401-4DA2-47A5-BF17-FC8835FE266E.jpg?v=1767895903,brand:WHIRLPOOL|type:FRIDGE|condition:Brand New|shopify-tag:Brand new|shopify-tag:Whirlpool|collection:BRAND NEW|collection:SHOP BY BRAND|collection:WHIRLPOOL,,,SHOPIFY-8138550280246-44673049165878,1149.99,standard,1,true,,,8138550280246,44673049165878,1799.99
"BRAND NEW LG  (LDFC2423V)
24 Inch Full Console Dishwasher with 15 Place Settings, 52 dBA, 5 Wash Cycles, Nylon Coated Racks, Dynamic Dry™, and ENERGY STAR® Qualified: Stainless Steel Look",brand-new-lg-ldfc2423v-24-inch-full-console-dishwasher-with-15-place-settings-52-dba-5-wash-cycles-nylon-coated-racks-dynamic-dry™-and-energy-star®-qualified-stainless-steel-look,"Description
24 Inch Full Console Dishwasher with 15 Place Setting Capacity

Make cleanup easy with this spacious dishwasher. Fit all the plates, bowls, and stemware in with space for up to 15 place settings of dishes. Enjoy powerful cleaning and leave nothing behind with SenseClean™ Wash System, Dynamic Dry, 5-wash cycles, 6-options, and 3-spray arms. It also includes LG's EasyRack™ Plus system allowing you to change the racks around easily to fit any load. Finally, there's a dishwasher that gets the job done.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/DBF2A0F7-178D-4326-9613-9C3E1704F89B.jpg?v=1767894126|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/457F20D2-78E2-476F-B525-57B376EAA318.jpg?v=1767894126|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/B390BA6C-71D5-41C5-9832-378B26AAD57B.jpg?v=1767894126|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/48B91E35-6A73-498F-8F36-C68AA4B85D7E.jpg?v=1767894126,brand:LG|type:DISHWASHER|condition:Brand New|shopify-tag:Brand new|shopify-tag:Dishwasher|shopify-tag:lg|shopify-tag:LG BRAND NEW|collection:BRAND NEW|collection:LG|collection:LG BRAND NEW|collection:SHOP BY BRAND,,,SHOPIFY-8138548084790-44673036779574,479.99,standard,1,true,,,8138548084790,44673036779574,649.99
BRAND NEW SAMSUNG WASHER TOP LOAD (WHITE) (WA45T3200AW) HIGH EFFICIENCY,brand-new-samsung-washer-top-load-white-wa45t3200aw-high-efficiency,"Description

27 Inch Top Load Washer with 4.5 cu. ft. Capacity
Laundry day has never been effortless with Samsung's 4.5 cu. ft. capacity top load washer with Active WaterJet. Reduce the number of loads with its large capacity tub. Its Diamond Drum Interior is proven to provide a gentler clean, with tests showing that washing-related damages were reduced by up to 34% when compared to conventional washing machine drums. Its vibration reduction technology allows for quiet washing, making it a perfect choice for small homes with multi-purpose spaces. Remove the need to flip through your manual whenever you need to troubleshoot your washing machine with the Smart Care feature, which makes diagnosis and troubleshooting as easy as flashing your smartphone's camera on the error code flashing on the LED screen. This washer also comes with a Self Clean cycle for easier maintenance. Do more with Samsung's innovative washer.",https://cdn.shopify.com/s/files/1/0622/9449/1190/files/F0A4892A-1574-4356-A2B1-BF41F907EF2D.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/FFEA76E5-2B2B-4D3B-84F9-2496D62EE992.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/21C08E5F-9DAD-436B-B8FF-D367C858847C.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/EDA5F667-BD70-4501-BA7B-D42E07DBE79F.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/761D5FFE-CE47-4B5B-9039-500A5A55C5E0.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/CDF85EC1-3DD5-4EF4-ADA4-2F0C4EFDBCAB.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/ED1903B9-DE9C-4C2E-8035-DAC5C93913C9.jpg?v=1767807720|https://cdn.shopify.com/s/files/1/0622/9449/1190/files/3B1DF947-F390-40C1-A69A-FC56DBAEB746.jpg?v=1767807667,brand:SAMSUNG|type:WASHER|condition:Brand New|shopify-tag:Brand new|shopify-tag:SAMSUNG BRAND NEW|shopify-tag:Washer|collection:BRAND NEW|collection:SAMSUNG BRAND NEW|collection:SHOP BY BRAND|collection:Washer,Color,Blanco,SHOPIFY-8136257208374-44669017260086,550.00,standard,1,true,,,8136257208374,44669017260086,750.00
